"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.104","172.64.155.209","TCP","55","56356  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 213]"
"2","0.015799","172.64.155.209","192.168.0.104","TCP","66","443  >  56356 [ACK] Seq=1 Ack=2 Win=111 Len=0 SLE=1 SRE=2"
"3","0.341950","142.250.70.106","192.168.0.104","UDP","121","443  >  58183 Len=79"
"4","0.355674","192.168.0.104","142.250.70.106","UDP","75","58183  >  443 Len=33"
"5","0.707043","142.250.192.106","192.168.0.104","UDP","121","443  >  60595 Len=79"
"6","0.707865","142.250.192.106","192.168.0.104","UDP","64","443  >  60595 Len=22"
"7","0.710551","192.168.0.104","142.250.192.106","UDP","75","60595  >  443 Len=33"
"8","0.730192","192.168.0.104","192.168.0.1","DNS","91","Standard query 0x4d62 A signaler-pa.clients6.google.com"
"9","0.731765","192.168.0.104","192.168.0.1","DNS","91","Standard query 0x7551 HTTPS signaler-pa.clients6.google.com"
"10","0.739950","192.168.0.1","192.168.0.104","DNS","107","Standard query response 0x4d62 A signaler-pa.clients6.google.com A 142.250.192.138"
"11","0.741378","192.168.0.1","192.168.0.104","DNS","141","Standard query response 0x7551 HTTPS signaler-pa.clients6.google.com SOA ns1.google.com"
"12","0.743406","192.168.0.104","142.250.192.138","QUIC","1292","Initial, DCID=f0a26253a34bfe5c, PKN: 1, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, PING, PING, PING, PING, CRYPTO, PADDING"
"13","0.743550","192.168.0.104","142.250.192.138","QUIC","1292","Initial, DCID=f0a26253a34bfe5c, PKN: 2, CRYPTO"
"14","0.743678","192.168.0.104","142.250.192.138","QUIC","1292","Initial, DCID=f0a26253a34bfe5c, PKN: 3, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING"
"15","0.743888","192.168.0.104","142.250.192.138","QUIC","119","0-RTT, DCID=f0a26253a34bfe5c"
"16","0.744226","192.168.0.104","142.250.192.138","QUIC","573","0-RTT, DCID=f0a26253a34bfe5c"
"17","0.751515","142.250.192.138","192.168.0.104","QUIC","82","Initial, SCID=f0a26253a34bfe5c, PKN: 1, ACK"
"18","0.751515","142.250.192.138","192.168.0.104","QUIC","82","Initial, SCID=f0a26253a34bfe5c, PKN: 2, ACK"
"19","0.752121","142.250.192.138","192.168.0.104","QUIC","1292","Initial, SCID=f0a26253a34bfe5c, PKN: 3, ACK, PADDING"
"20","0.752121","142.250.192.138","192.168.0.104","QUIC","1292","Initial, SCID=f0a26253a34bfe5c, PKN: 4, ACK, PADDING"
"21","0.761299","192.168.0.104","142.250.192.138","QUIC","1292","Initial, DCID=f0a26253a34bfe5c, PKN: 7, PADDING, PING, PADDING"
"22","0.769493","142.250.192.138","192.168.0.104","QUIC","1292","Initial, SCID=f0a26253a34bfe5c, PKN: 5, ACK, PADDING"
"23","0.784437","192.168.0.104","142.250.192.138","QUIC","1292","Initial, DCID=f0a26253a34bfe5c, PKN: 9, PADDING, PING, PADDING"
"24","0.792668","142.250.192.138","192.168.0.104","QUIC","1292","Initial, SCID=f0a26253a34bfe5c, PKN: 6, ACK, PADDING"
"25","0.807123","192.168.0.104","142.250.192.138","QUIC","1292","Initial, DCID=f0a26253a34bfe5c, PKN: 11, PADDING, PING, PADDING"
"26","0.812247","142.250.192.138","192.168.0.104","QUIC","1292","Initial, SCID=f0a26253a34bfe5c, PKN: 7, CRYPTO, PADDING"
"27","0.812247","142.250.192.138","192.168.0.104","QUIC","345","Protected Payload (KP0)"
"28","0.812247","142.250.192.138","192.168.0.104","QUIC","989","Protected Payload (KP0)"
"29","0.813108","192.168.0.104","142.250.192.138","QUIC","120","Handshake, DCID=f0a26253a34bfe5c"
"30","0.813265","192.168.0.104","142.250.192.138","QUIC","73","Protected Payload (KP0), DCID=f0a26253a34bfe5c"
"31","0.813770","142.250.192.138","192.168.0.104","QUIC","94","Protected Payload (KP0)"
"32","0.813770","142.250.192.138","192.168.0.104","QUIC","66","Protected Payload (KP0)"
"33","0.817118","142.250.192.138","192.168.0.104","QUIC","1292","Initial, SCID=f0a26253a34bfe5c, PKN: 13, ACK, CRYPTO, PADDING"
"34","0.817118","142.250.192.138","192.168.0.104","QUIC","350","Protected Payload (KP0)"
"35","0.817626","192.168.0.104","142.250.192.138","QUIC","155","Protected Payload (KP0), DCID=f0a26253a34bfe5c"
"36","0.820807","142.250.192.138","192.168.0.104","QUIC","162","Protected Payload (KP0)"
"37","0.821187","192.168.0.104","142.250.192.138","QUIC","75","Protected Payload (KP0), DCID=f0a26253a34bfe5c"
"38","1.029172","142.250.192.138","192.168.0.104","QUIC","241","Protected Payload (KP0)"
"39","1.029172","142.250.192.138","192.168.0.104","QUIC","63","Protected Payload (KP0)"
"40","1.030780","192.168.0.104","142.250.192.138","QUIC","79","Protected Payload (KP0), DCID=f0a26253a34bfe5c"
"41","1.031007","192.168.0.104","142.250.192.138","QUIC","75","Protected Payload (KP0), DCID=f0a26253a34bfe5c"
"42","1.032716","192.168.0.104","142.250.192.106","UDP","687","60595  >  443 Len=645"
"43","1.038437","142.250.192.138","192.168.0.104","QUIC","69","Protected Payload (KP0)"
"44","1.042422","142.250.192.106","192.168.0.104","UDP","71","443  >  60595 Len=29"
"45","1.045237","192.168.0.104","142.250.192.106","UDP","75","60595  >  443 Len=33"
"46","1.228146","TpLinkTechno_1d:87:84","CloudNetwork_34:60:2b","ARP","42","Who has 192.168.0.104? Tell 192.168.0.1"
"47","1.228193","CloudNetwork_34:60:2b","TpLinkTechno_1d:87:84","ARP","42","192.168.0.104 is at 14:ac:60:34:60:2b"
"48","1.262750","142.250.192.106","192.168.0.104","UDP","127","443  >  60595 Len=85"
"49","1.266700","192.168.0.104","142.250.192.106","UDP","79","60595  >  443 Len=37"
"50","1.276494","142.250.192.106","192.168.0.104","UDP","67","443  >  60595 Len=25"
"51","1.319624","fe80::1e3b:f3ff:fe1d:8784","ff02::1","ICMPv6","78","Router Advertisement from 1c:3b:f3:1d:87:84"
"52","1.861968","192.168.0.104","34.144.254.29","TCP","55","56138  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 408]"
"53","1.871601","34.144.254.29","192.168.0.104","TCP","66","443  >  56138 [ACK] Seq=1 Ack=2 Win=777 Len=0 SLE=1 SRE=2"
"54","1.878595","142.250.71.106","192.168.0.104","UDP","79","443  >  64082 Len=37"
"55","1.878595","142.250.71.106","192.168.0.104","UDP","77","443  >  64082 Len=35"
